EXCHANGE%3DNYSE
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=604800
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-300
2,2.3102,2.3518,2.2582,0.0000,69604776,5
3,2.3518,2.3674,2.2894,0.0000,48290616,5
4,2.3726,2.4195,2.331,0.0000,70092504,5
5,2.3934,2.4507,2.3622,0.0000,62253624,5
6,2.3154,2.4195,2.2894,0.0000,58577688,5
7,2.4247,2.4403,2.3206,0.0000,54642624,5
8,2.4403,2.4507,2.4039,0.0000,25660080,5
9,2.4143,2.4559,2.3882,0.0000,50964600,5
10,2.3779,2.4299,2.3622,0.0000,53780208,5
11,2.331,2.3934,2.3206,0.0000,42546480,5
12,2.2374,2.3362,2.2217,0.0000,66097152,5
13,2.2686,2.331,2.2165,0.0000,67618008,5
14,2.2269,2.2738,2.1905,0.0000,95360808,5
15,2.1957,2.2478,1.998,0.0000,65450952,5
16,2.2374,2.2478,2.1229,0.0000,77282880,5
17,2.1749,2.2478,2.1229,0.0000,67380216,5
18,2.0552,2.1957,2.0292,0.0000,63442704,5
19,2.2217,2.253,2.05,0.0000,115687704,5
20,2.1697,2.2165,2.1437,0.0000,45648024,5
21,2.2842,2.3102,2.1593,0.0000,55156800,5
22,2.1489,2.305,2.1333,0.0000,61698504,5
23,2.2217,2.2686,2.1333,0.0000,72557496,5
a451256400,2.2686,2.2998,2.2114,0.0000,50051688,5
a451947600,2.305,2.3414,2.2269,0.0000,65436624,5
TIMEZONE_OFFSET=-240
a452548800,2.2686,2.3518,2.2217,0.0000,52098504,5
1,2.2634,2.305,2.2322,0.0000,56192208,5
2,2.2269,2.2686,2.1957,0.0000,48312408,5
3,2.1749,2.2478,2.1385,0.0000,60790368,5
4,2.2165,2.2165,2.1021,0.0000,65220408,5
5,2.2217,2.2426,2.1801,0.0000,50039688,5
6,2.1957,2.2269,2.1749,0.0000,43646880,5
7,2.253,2.2686,2.1749,0.0000,79466592,5
8,2.1853,2.253,2.1801,0.0000,38892504,5
9,2.1645,2.2061,2.1593,0.0000,29237304,5
10,2.1073,2.1905,2.05,0.0000,89129208,5
11,2.0449,2.1229,2.0136,0.0000,65744184,5
12,2.1385,2.1437,2.0084,0.0000,73414920,5
13,2.3622,2.3726,2.1333,0.0000,106140624,5
14,2.4039,2.4715,2.3206,0.0000,130330416,5
15,2.3882,2.4299,2.357,0.0000,66109296,5
16,2.4195,2.4507,2.3726,0.0000,75478632,5
17,2.357,2.4143,2.3206,0.0000,33712896,5
18,2.3206,2.3674,2.3102,0.0000,42546480,5
19,2.4351,2.4715,2.2998,0.0000,84610152,5
20,2.2998,2.4611,2.2894,0.0000,95807712,5
21,2.3206,2.3882,2.2894,0.0000,104377272,5
22,2.2426,2.3102,2.2269,0.0000,53131488,5
23,2.3206,2.331,2.2165,0.0000,55517112,5
24,2.4351,2.4507,2.3102,0.0000,86068488,5
25,2.3622,2.4455,2.357,0.0000,51459504,5
TIMEZONE_OFFSET=-300
a468277200,2.383,2.4455,2.3518,0.0000,56478096,5
1,2.4039,2.4507,2.3726,0.0000,69626424,5
2,2.3466,2.4143,2.331,0.0000,47509896,5
3,2.3934,2.4195,2.3362,0.0000,52523688,5
4,2.305,2.3987,2.2894,0.0000,89556720,5
5,2.2374,2.3206,2.2322,0.0000,61655328,5
6,2.279,2.3258,2.2061,0.0000,45835392,5
7,2.3466,2.3882,2.2582,0.0000,84350712,5
8,2.3518,2.383,2.3466,0.0000,23675616,5
9,2.331,2.3674,2.3154,0.0000,34306224,5
10,2.4143,2.4455,2.3362,0.0000,68977704,5
11,2.5183,2.5339,2.4039,0.0000,98412096,5
12,2.6536,2.6848,2.5391,0.0000,121876392,5
13,2.6172,2.716,2.6016,0.0000,79656384,5
14,2.6692,2.6952,2.5912,0.0000,78652200,5
15,2.6276,2.716,2.6068,0.0000,60045672,5
16,2.5964,2.6796,2.586,0.0000,50068488,5
17,2.6692,2.7004,2.5495,0.0000,71882400,5
18,2.6016,2.6952,2.6016,0.0000,74493696,5
19,2.5495,2.6536,2.5495,0.0000,64552488,5
20,2.5756,2.6224,2.5287,0.0000,63966288,5
21,2.4611,2.5495,2.4299,0.0000,146772408,5
a481496400,2.5079,2.5287,2.4455,0.0000,57448680,5
a482187600,2.4819,2.5079,2.4611,0.0000,57600024,5
1,2.4507,2.4871,2.4403,0.0000,58813224,5
2,2.5027,2.5547,2.4299,0.0000,56670312,5
TIMEZONE_OFFSET=-240
a483998400,2.4403,2.4975,2.4143,0.0000,61254120,5
1,2.5183,2.5287,2.4299,0.0000,77242008,5
2,2.4871,2.5339,2.4403,0.0000,106469688,5
3,2.5183,2.5704,2.5027,0.0000,89285184,5
4,2.5235,2.5391,2.4871,0.0000,45886008,5
5,2.5652,2.612,2.5287,0.0000,84970584,5
6,2.4923,2.586,2.4611,0.0000,71002968,5
7,2.5131,2.5287,2.4715,0.0000,65242104,5
8,2.5756,2.5964,2.4975,0.0000,60348288,5
9,2.5704,2.6172,2.5444,0.0000,32057616,5
10,2.5287,2.5704,2.5131,0.0000,46902072,5
11,2.612,2.6484,2.5079,0.0000,76401216,5
12,2.6588,2.6744,2.5912,0.0000,74332704,5
13,2.6692,2.6848,2.638,0.0000,54181416,5
14,2.5652,2.6744,2.5652,0.0000,40468416,5
15,2.5079,2.5704,2.4923,0.0000,52273800,5
16,2.4975,2.5652,2.4975,0.0000,37186800,5
17,2.5391,2.5756,2.4871,0.0000,44864784,5
18,2.5444,2.5547,2.4871,0.0000,49902696,5
19,2.4975,2.5808,2.4715,0.0000,56478072,5
20,2.4507,2.4975,2.4455,0.0000,88939272,5
21,2.3779,2.4923,2.3622,0.0000,63202416,5
22,2.3674,2.4455,2.3414,0.0000,66387888,5
23,2.4351,2.4559,2.3518,0.0000,49636080,5
24,2.4923,2.5808,2.4507,0.0000,106745880,5
25,2.4507,2.5027,2.4403,0.0000,45684192,5
TIMEZONE_OFFSET=-300
a499726800,2.4975,2.4975,2.3934,0.0000,70628088,5
1,2.5495,2.5599,2.4715,0.0000,60259512,5
2,2.664,2.6952,2.5495,0.0000,104394000,5
3,2.7421,2.7785,2.664,0.0000,91336896,5
4,2.7317,2.7681,2.6796,0.0000,53573592,5
5,2.7212,2.7837,2.6796,0.0000,73701000,5
6,2.9554,2.9814,2.7264,0.0000,174767496,5
7,2.9658,3.0751,2.8982,0.0000,127572408,5
8,2.9866,2.997,2.8721,0.0000,38227104,5
9,2.9866,3.0334,2.9658,0.0000,45907488,5
10,2.9034,3.0855,2.8721,0.0000,87697320,5
11,2.8669,2.9398,2.8149,0.0000,76091376,5
12,2.8617,2.8982,2.7681,0.0000,46493712,5
13,2.9502,2.971,2.8149,0.0000,71238480,5
14,3.1011,3.1219,2.9554,0.0000,83096712,5
15,3.1167,3.1219,2.9918,0.0000,62078208,5
16,3.2468,3.2468,3.0959,0.0000,63937512,5
